Id,Class
0,3
1,5
2,3
3,3
4,1
5,6
6,1
7,2
8,9
9,5
10,1
11,3
12,1
13,1
14,6
15,5
16,6
17,8
18,3
19,3
20,7
21,3
22,8
23,0
24,8
25,4
26,9
27,4
28,6
29,6
30,8
31,3
32,8
33,5
34,2
35,3
36,1
37,2
38,8
39,8
40,4
41,3
42,7
43,2
44,3
45,5
46,5
47,9
48,3
49,4
50,7
51,3
52,0
53,8
54,4
55,7
56,8
57,7
58,2
59,8
60,6
61,3
62,0
63,1
64,2
65,2
66,9
67,9
68,7
69,7
70,7
71,9
72,4
73,2
74,2
75,9
76,8
77,6
78,1
79,1
80,9
81,6
82,4
83,3
84,7
85,7
86,4
87,3
88,7
89,5
90,0
91,6
92,2
93,8
94,1
95,2
96,4
97,7
98,7
99,6
100,8
101,0
102,6
103,4
104,2
105,2
106,4
107,7
108,7
109,0
110,4
111,6
112,3
113,0
114,2
115,4
116,0
117,2
118,3
119,3
120,3
121,7
122,4
123,5
124,5
125,1
126,1
127,5
128,6
129,0
130,5
131,9
132,7
133,6
134,4
135,9
136,5
137,6
138,9
139,8
140,9
141,0
142,5
143,7
144,0
145,5
146,9
147,2
148,5
149,7
150,2
151,7
152,6
153,4
154,2
155,4
156,3
157,7
158,9
159,3
160,2
161,5
162,9
163,2
164,9
165,9
166,6
167,6
168,7
169,9
170,4
171,4
172,9
173,8
174,6
175,8
176,3
177,3
178,9
179,9
180,6
181,8
182,3
183,7
184,6
185,8
186,2
187,0
188,1
189,4
190,6
191,2
192,5
193,1
194,3
195,9
196,3
197,4
198,4
199,9
200,8
201,8
202,3
203,7
204,7
205,8
206,8
207,5
208,8
209,3
210,5
211,8
212,6
213,4
214,0
215,8
216,7
217,8
218,0
219,5
220,4
221,4
222,0
223,4
224,2
225,3
226,3
227,1
228,4
229,9
230,0
231,1
232,4
233,6
234,4
235,4
236,4
237,9
238,2
239,9
240,5
241,1
242,8
243,3
244,6
245,4
246,6
247,6
248,1
249,7
250,0
251,5
252,0
253,4
254,3
255,3
256,6
257,9
258,0
259,5
260,3
261,7
